,hsa.miR.200b.3p,hsa.miR.200a.5p,hsa.miR.1976,hsa.miR.197.3p,hsa.miR.942.3p,hsa.miR.556.3p,hsa.miR.1295a,hsa.miR.181b.5p,hsa.miR.181b.3p,hsa.miR.181a.3p,hsa.miR.135b.5p,hsa.miR.135b.3p,hsa.miR.29c.5p,hsa.miR.29c.3p,hsa.miR.29b.2.5p,hsa.miR.215.3p,hsa.miR.194.5p,hsa.miR.4677.3p,hsa.miR.605.5p,hsa.miR.107,hsa.miR.6507.5p,hsa.miR.146b.5p,hsa.miR.1307.5p,hsa.miR.202.5p,hsa.miR.192.5p,hsa.miR.194.3p,hsa.miR.139.5p,hsa.miR.139.3p,hsa.miR.326,hsa.miR.708.3p,hsa.miR.6755.5p,hsa.miR.1304.5p,hsa.miR.141.5p,hsa.miR.196a.5p,hsa.miR.148b.5p,hsa.let.7i.3p,hsa.miR.3613.5p,hsa.miR.16.5p,hsa.miR.16.1.3p,hsa.miR.15a.5p,hsa.miR.17.5p,hsa.miR.17.3p,hsa.miR.18a.5p,hsa.miR.19a.3p,hsa.miR.20a.5p,hsa.miR.19b.1.5p,hsa.miR.92a.1.5p,hsa.miR.5586.5p,hsa.miR.3173.5p,hsa.miR.345.3p,hsa.miR.628.3p,hsa.miR.629.5p,hsa.miR.6511b.3p,hsa.miR.365a.3p,hsa.miR.484,hsa.miR.328.3p,hsa.miR.195.5p,hsa.miR.195.3p,hsa.miR.497.5p,hsa.miR.4521,hsa.miR.744.3p,hsa.miR.451a,hsa.miR.144.5p,hsa.miR.144.3p,hsa.miR.4732.3p,hsa.miR.193a.5p,hsa.miR.365b.3p,hsa.miR.6510.3p,hsa.miR.454.3p,hsa.miR.301a.3p,hsa.miR.21.5p,hsa.miR.21.3p,hsa.miR.3615,hsa.miR.133a.3p,hsa.miR.133a.5p,hsa.miR.1.3p,hsa.miR.3940.3p,hsa.miR.639,hsa.miR.642a.5p,hsa.miR.769.5p,hsa.let.7e.3p,hsa.miR.125a.5p,hsa.miR.1301.3p,hsa.miR.548ba,hsa.miR.3682.3p,hsa.miR.5000.3p,hsa.miR.128.3p,hsa.miR.4444,hsa.miR.1258,hsa.miR.153.3p,hsa.miR.149.5p,hsa.miR.103a.3p,hsa.miR.548o.3p,hsa.miR.802,hsa.miR.185.5p,hsa.miR.1306.5p,hsa.miR.301b.3p,hsa.miR.301b.5p,hsa.miR.130b.3p,hsa.miR.3199,hsa.miR.885.5p,hsa.miR.26a.1.3p,hsa.miR.425.5p,hsa.miR.191.5p,hsa.miR.16.2.3p,hsa.miR.551b.3p,hsa.miR.378d,hsa.miR.95.3p,hsa.miR.574.3p,hsa.miR.576.5p,hsa.miR.577,hsa.miR.4454,hsa.miR.887.5p,hsa.miR.581,hsa.miR.143.3p,hsa.miR.145.5p,hsa.miR.145.3p,hsa.miR.378a.5p,hsa.miR.6720.3p,hsa.miR.5683,hsa.miR.219a.5p,hsa.miR.133b,hsa.miR.30c.2.3p,hsa.miR.30a.5p,hsa.miR.30a.3p,hsa.miR.3662,hsa.miR.339.5p,hsa.miR.196b.5p,hsa.miR.550a.5p,hsa.miR.590.5p,hsa.miR.590.3p,hsa.miR.93.5p,hsa.miR.106b.5p,hsa.miR.182.5p,hsa.miR.96.5p,hsa.miR.183.5p,hsa.miR.183.3p,hsa.miR.335.5p,hsa.miR.335.3p,hsa.miR.29a.5p,hsa.miR.29b.1.5p,hsa.miR.490.5p,hsa.miR.490.3p,hsa.miR.671.5p,hsa.miR.671.3p,hsa.miR.3622a.3p,hsa.miR.486.5p,hsa.miR.4661.5p,hsa.miR.7705,hsa.miR.151a.5p,hsa.miR.151a.3p,hsa.miR.491.5p,hsa.miR.204.5p,hsa.let.7f.1.3p,hsa.let.7d.5p,hsa.let.7d.3p,hsa.miR.6854.5p,hsa.miR.32.3p,hsa.miR.181b.2.3p,hsa.miR.4770,hsa.miR.222.5p,hsa.miR.532.5p,hsa.miR.188.5p,hsa.miR.500a.3p,hsa.miR.501.3p,hsa.miR.500b.3p,hsa.miR.502.5p,hsa.miR.98.5p,hsa.miR.98.3p,hsa.miR.421,hsa.miR.374b.3p,hsa.miR.766.3p,hsa.miR.106a.5p,hsa.miR.542.3p,hsa.miR.503.5p,hsa.miR.504.5p,hsa.miR.224.5p,hsa.miR.452.3p
TCGA.CD.A4MH.01A,16298,8688,30,1181,1,7,0,2182,50,1153,6,0,85,11864,114,104,123865,36,1,165,2,1859,821,22,261508,1784,127,27,16,747,8,1,1084,312,8,278,87,1081,37,482,4736,1113,309,284,3255,42,16,25,2,1,6,642,19,128,595,94,193,14,118,4,54,541,128,4,0,439,128,1,32,97,972112,6017,25,136,1,180,0,0,10,81,43,1633,84,0,3,19,677,5,7,11,423,86884,2,1,235,39,11,8,115,4,0,3,2343,4156,61,5,1,30,337,51,215,0,2,3,446826,21405,380,609,9,4,4,20,86,34434,6400,3,228,5040,28,98,24,82975,2287,102973,168,63204,9,54,713,25,17,0,6,36,8,0,101,6,2,388,6650,19,9,17,1602,2040,4,2,3,1,39,6827,38,3863,910,13,23,301,4,13,5,39,40,1425,71,8,1247,50
TCGA.CG.4301.01A,2288,2333,12,342,1,0,1,864,75,351,352,2,67,4096,51,3,23475,12,0,97,0,725,495,0,53104,109,53,4,8,104,0,0,761,449,3,144,19,1282,3,112,340,140,27,30,187,4,4,0,0,3,1,65,1,47,75,21,45,1,37,1,12,191,90,7,0,94,47,0,20,18,427440,9711,1,40,0,51,1,2,19,8,23,490,12,0,1,1,126,0,1,14,18,20473,0,3,72,6,5,2,37,2,0,13,1186,1066,27,4,2,6,121,11,36,1,0,0,169455,6531,83,80,2,0,1,8,77,110202,24823,1,25,811,9,27,11,3896,289,35385,42,11531,0,9,40,5,8,0,1,8,2,0,34,4,6,96,3379,1,32,2,500,546,3,2,12,0,21,1044,2,418,85,0,0,71,2,3,4,10,48,205,12,1,28,6
TCGA.CG.4304.01A,2260,1476,10,558,4,1,0,166,48,237,75,1,31,1439,25,132,68981,16,0,37,0,755,1045,0,199595,447,56,5,2,67,0,0,1045,17,2,160,20,1246,6,150,392,162,12,70,294,15,4,2,0,0,0,182,2,35,61,16,20,0,16,3,17,352,120,9,1,95,35,2,12,9,331468,5526,5,7,0,7,1,1,13,17,7,445,8,1,0,2,75,0,3,5,10,11353,1,20,46,4,0,0,20,0,0,17,390,1360,11,1,1,19,84,51,281,0,0,2,84001,2611,64,138,1,4,3,1,37,39009,9737,1,21,589,7,42,27,5208,325,26150,41,5339,0,32,228,19,10,0,3,4,6,0,80,3,0,126,1488,7,1,3,178,352,2,3,6,0,10,1105,2,517,63,1,1,31,0,2,0,12,30,142,13,0,104,8
TCGA.CG.4305.01A,2439,1757,14,374,1,1,0,114,40,217,23,0,33,1067,14,37,23904,12,1,96,0,1114,879,1,66455,146,44,5,8,112,1,0,260,338,6,135,30,1475,2,177,813,258,23,45,347,13,5,7,0,0,0,49,2,52,70,15,38,5,27,2,53,123,61,3,0,62,52,1,13,14,334611,6326,4,18,0,24,0,0,10,17,12,286,14,0,3,1,82,0,2,3,37,21153,0,3,70,11,2,4,31,0,1,23,256,750,22,0,1,13,119,27,7,1,0,1,104981,3788,81,110,1,6,2,3,9,8557,2303,0,18,217,6,34,9,5574,327,48457,39,30524,2,24,188,14,10,1,0,5,7,0,32,3,0,97,2369,4,2,4,345,598,1,0,1,0,12,1274,8,507,108,2,1,51,5,4,5,8,94,118,14,0,12,1
TCGA.CG.4306.01A,7223,8277,18,457,2,1,0,188,48,224,224,5,76,2633,70,18,40246,12,0,110,0,1320,1176,0,126167,387,47,1,12,70,0,0,1898,218,5,229,23,2573,12,311,964,392,40,109,366,19,5,4,0,3,0,92,9,45,133,20,41,1,24,1,40,1022,349,40,1,170,45,0,29,36,656882,11827,1,13,1,16,2,0,9,22,20,580,24,0,1,1,217,2,3,14,13,32048,1,0,89,17,3,4,20,0,1,22,402,1306,34,2,2,39,296,29,207,2,0,3,184551,4456,96,183,1,1,1,2,13,16806,3885,1,30,1483,10,27,23,8367,510,50420,48,26545,0,13,63,20,15,0,0,6,8,0,222,10,1,160,3677,7,3,26,719,1514,2,3,1,0,47,1639,10,658,163,5,1,83,9,7,4,27,114,196,37,0,21,7
TCGA.CG.4438.01A,3846,2936,11,568,4,0,1,1181,74,259,419,5,65,1720,53,106,68750,18,0,158,0,1814,1285,1,244757,451,27,3,25,74,2,1,1920,1162,11,189,42,2099,9,349,2424,600,96,172,812,16,17,4,0,6,3,163,7,70,169,27,62,5,46,2,69,61,21,3,0,110,70,0,21,35,522589,7100,6,133,2,183,1,1,18,45,39,739,14,1,2,5,211,5,1,12,34,52969,7,4,71,18,9,6,50,1,0,18,465,1422,25,2,5,37,108,47,983,0,0,3,469078,13507,215,126,11,2,4,26,24,30565,6384,1,35,1439,29,49,22,10073,541,22860,17,13695,1,21,357,25,27,1,25,2,5,0,8,30,2,288,8688,0,1,18,881,1158,3,5,12,1,27,1294,7,468,104,3,1,152,8,16,11,18,272,199,74,2,254,48
TCGA.CG.4441.01A,23323,14998,54,2382,9,8,4,916,104,730,383,3,233,14175,148,709,178965,43,1,505,0,2241,7790,3,656311,873,95,22,164,622,2,8,7638,904,34,1568,90,4506,29,643,5035,2220,353,426,2150,90,39,12,9,6,9,466,10,233,385,136,159,10,114,2,134,1195,309,54,0,799,232,2,70,63,1885817,38753,26,24,0,17,2,6,10,129,56,1824,83,0,11,9,348,9,3,53,115,106886,10,268,325,76,19,8,165,2,1,9,8107,19280,109,4,10,13,926,103,606,1,4,3,739697,25231,362,1952,2,2,11,5,93,77917,23448,8,292,418,44,218,92,29768,2993,143938,235,59345,13,83,1147,71,45,0,0,32,8,0,376,5,11,979,14864,21,6,61,3191,3650,4,6,10,0,156,14713,155,4188,748,22,22,422,13,18,30,59,111,1219,110,4,68,25
TCGA.CG.4442.01A,2792,3699,13,300,1,0,0,201,35,88,74,4,17,378,14,32,25841,9,0,92,0,331,520,0,65861,257,22,1,8,101,1,0,930,54,5,61,9,1512,6,160,2077,467,65,128,707,20,14,0,0,2,2,47,1,85,105,6,9,1,7,3,73,323,121,14,0,103,85,0,16,28,289702,10483,5,0,0,2,1,0,2,14,0,73,3,0,1,1,106,2,1,2,26,16089,0,0,28,10,6,13,36,0,0,11,761,1325,21,0,0,1,180,23,78,2,0,0,87037,1258,29,47,0,0,1,0,11,9665,2936,1,35,3078,3,17,9,7420,363,50238,39,32205,3,29,389,31,30,0,1,4,1,0,86,4,3,123,2494,2,1,7,293,859,1,3,4,0,27,584,6,194,35,1,0,55,2,4,3,6,234,77,10,0,3,0
TCGA.CG.4443.01A,5259,3005,18,249,0,3,0,299,58,184,1003,5,46,1268,28,1,48552,5,0,102,0,364,1976,0,133848,207,131,9,7,53,3,0,4193,8,8,77,31,2140,8,224,1237,683,20,68,827,42,5,0,0,1,0,114,2,26,56,32,34,2,41,0,38,97,31,4,0,195,26,5,42,22,174340,1649,16,2,0,4,0,2,1,19,41,1054,10,1,1,2,75,7,0,40,12,27037,0,0,28,9,3,2,20,3,0,22,765,5723,18,2,1,47,245,27,233,0,0,0,94170,2708,31,44,0,0,4,0,59,160744,66019,0,22,332,12,18,9,7049,509,45878,48,13571,0,46,120,37,25,0,0,5,6,0,22,70,2,117,2275,3,71,11,481,826,0,4,17,0,6,3234,6,764,129,2,0,56,4,2,3,2,168,233,22,3,55,10
TCGA.CG.4444.01A,1771,4886,11,386,5,2,0,106,45,144,15,5,52,2053,17,54,25238,13,1,95,1,363,221,0,85844,393,40,8,8,31,0,0,6803,75,4,202,26,1305,9,109,436,243,23,76,247,37,72,0,1,3,0,188,3,26,87,28,35,1,54,1,33,483,160,19,0,191,26,0,11,9,361920,13999,1,29,1,41,1,3,5,15,7,276,12,0,1,3,107,0,0,6,5,8937,0,0,50,7,0,0,9,4,0,23,438,651,41,0,3,17,94,33,36,1,0,1,230762,4592,80,143,0,0,0,9,12,9717,3908,13,16,181,11,14,8,3275,304,14380,10,4184,0,12,109,8,28,0,0,0,11,0,100,97,0,82,1737,3,2,13,329,732,3,5,8,0,13,1295,5,319,59,3,2,26,2,1,4,6,49,104,10,0,10,5
TCGA.CG.4460.01A,3138,2998,5,487,0,2,0,104,26,75,237,3,204,4621,134,2,13236,5,0,90,0,427,890,1,44372,96,61,2,8,71,0,0,2378,828,12,234,36,2060,11,196,949,332,17,68,406,17,5,6,1,2,1,113,3,50,215,49,50,3,24,0,42,437,184,20,0,150,50,0,15,62,221262,4196,1,41,1,34,0,1,10,23,53,629,32,0,2,1,101,2,1,40,45,23765,0,5,48,7,4,5,70,0,1,16,1442,1758,33,12,0,20,141,37,67,0,0,0,168673,3367,40,42,3,0,1,13,21,33007,7786,0,86,1039,11,42,23,9056,656,99035,114,44106,10,21,172,12,8,0,1,7,7,0,62,24,0,151,3030,10,2,7,823,606,0,4,1,1,3,972,3,299,70,1,0,75,3,4,13,13,79,216,17,2,8,1
TCGA.CG.4462.01A,3214,3111,20,393,3,0,0,265,33,367,163,2,47,3466,53,3,26480,6,2,100,0,3393,164,0,32196,131,98,20,24,177,0,0,667,358,1,533,33,900,4,200,318,261,24,44,203,10,0,3,0,4,1,87,1,64,121,36,79,3,69,2,15,344,139,6,1,111,64,0,10,15,853269,9357,1,7,0,13,0,0,3,13,31,412,12,0,1,2,115,1,2,11,20,35473,2,0,111,3,3,0,28,2,0,7,1252,1239,13,1,1,25,195,19,8,0,0,1,332510,5602,90,74,2,1,6,3,22,42815,10021,1,13,289,11,27,10,5246,352,36792,8,10059,0,18,75,8,8,0,0,4,2,0,70,7,1,74,4604,8,0,11,401,708,1,1,5,0,17,1332,5,614,100,1,1,73,3,4,2,5,43,377,11,1,29,5
TCGA.CG.4465.01A,2870,3007,7,550,5,1,0,141,35,161,37,0,30,1019,22,140,55062,6,0,58,0,1518,742,0,194571,541,18,2,16,97,1,0,942,239,5,132,28,1419,7,190,934,247,35,90,410,12,14,3,2,2,1,108,2,35,102,12,28,2,12,0,43,236,70,7,0,80,35,0,17,17,408075,9727,2,14,1,14,0,0,0,17,8,159,22,0,1,5,94,3,1,3,11,15388,1,0,68,15,2,1,22,0,0,13,742,1412,15,0,0,38,91,45,369,1,0,2,146542,3096,54,123,1,0,4,3,2,8319,1937,1,25,255,12,29,10,6086,419,19720,28,9974,1,20,151,27,27,0,0,6,4,0,29,6,0,83,1989,3,2,11,500,562,1,3,5,0,27,821,7,400,75,3,1,72,3,2,8,8,98,137,20,0,10,2
TCGA.CG.4475.01A,4223,3455,5,457,2,0,1,825,42,339,261,5,61,4920,61,9,11068,15,4,134,0,1280,414,4,25959,51,95,17,16,131,2,0,1526,1038,13,621,38,1255,2,200,711,293,30,66,361,11,8,1,0,3,0,101,7,127,151,29,86,6,89,1,42,619,198,23,0,406,127,2,34,51,1093669,16102,5,242,5,356,0,0,5,48,38,856,24,0,3,2,174,0,3,32,96,31599,1,3,161,19,1,1,41,0,0,17,3266,2346,24,2,0,22,273,22,1,0,2,2,660838,27616,428,52,11,12,1,56,45,52943,10964,0,60,22,14,49,17,6566,465,29078,27,11377,1,20,78,12,4,2,25,13,5,0,77,11,0,134,4590,8,1,14,608,757,4,3,6,1,8,1793,7,621,169,1,2,123,7,4,9,8,61,355,15,3,284,20
TCGA.CG.4476.01A,4116,7350,9,325,4,1,2,242,34,280,68,4,54,5842,109,9,40018,6,2,116,0,1420,318,6,69616,291,118,13,9,97,2,0,3644,453,7,278,28,1026,9,227,396,369,16,50,344,19,40,7,1,4,0,74,4,67,106,29,106,17,85,1,18,147,142,7,0,150,67,0,6,15,526702,7534,4,155,0,261,0,0,4,15,23,420,23,2,2,7,81,2,6,41,14,33551,0,0,101,8,1,1,28,2,0,9,446,780,30,0,1,17,161,14,82,1,2,0,567552,11126,223,190,6,6,1,41,70,79341,23408,1,35,248,28,19,11,4995,395,34572,11,7531,0,16,58,12,15,2,17,4,5,1,23,25,1,86,3541,6,8,14,523,719,0,4,4,0,14,2278,4,1619,254,12,6,63,3,4,10,8,40,549,8,0,23,2
TCGA.CG.4477.01A,2627,1898,8,413,6,2,0,355,67,268,522,5,78,6232,36,29,24938,5,0,124,0,1925,663,3,63662,75,58,9,5,98,0,0,1340,61,7,281,37,2673,6,267,784,377,54,94,392,12,12,3,2,0,1,141,0,49,99,19,59,1,36,1,19,671,136,18,1,127,49,13,23,15,545267,10159,1,87,1,76,1,3,5,24,8,276,13,0,1,4,222,2,1,9,23,23131,4,0,76,11,2,0,30,1,0,14,756,1357,45,6,2,22,80,37,130,1,0,1,376025,9996,159,157,6,2,0,24,13,30433,7509,2,30,223,19,42,27,4794,609,10242,11,2944,0,21,91,16,24,0,3,4,1,0,61,8,0,101,2847,8,7,11,678,634,1,3,5,0,24,1139,8,395,81,0,3,62,0,4,7,8,210,240,19,2,66,7
TCGA.CK.4950.01A,5756,7479,47,976,8,4,1,426,38,231,72,4,52,13915,47,51,75056,21,0,237,2,2462,1032,3,250673,1920,61,40,20,42,2,1,4088,977,11,275,17,1554,6,433,1325,834,44,53,977,20,6,6,1,3,0,246,2,139,189,24,219,10,34,1,44,1012,297,23,0,415,139,2,15,7,674788,15515,14,53,0,117,5,3,15,40,21,548,11,0,13,6,730,7,1,10,12,57760,2,0,184,18,0,0,41,4,1,2,1182,1706,16,0,4,44,176,41,118,0,0,0,604047,4001,137,1018,3,1,6,8,68,16936,6298,1,109,3507,36,44,19,17644,927,31074,47,17572,1,40,410,20,29,0,0,13,13,0,317,7,0,192,8519,3,4,11,358,765,3,6,5,0,29,4597,19,1704,174,13,2,163,1,12,13,20,26,586,10,0,184,18
TCGA.CK.4951.01A,2114,1784,15,311,0,1,0,86,10,104,154,6,15,375,13,3,15759,6,0,42,0,849,415,0,58705,207,11,2,4,74,0,0,406,591,3,196,9,644,3,90,422,213,26,37,200,13,2,2,1,0,0,166,0,57,103,22,2,1,2,0,15,80,35,4,0,94,57,0,6,4,266115,4683,6,5,0,9,0,0,3,12,10,466,9,0,1,2,112,2,0,7,7,8156,0,0,59,8,0,1,16,0,0,14,284,776,10,0,0,7,94,18,125,5,1,2,74576,1476,36,117,0,1,0,1,0,2451,469,0,33,4594,11,20,7,3614,182,9994,13,4175,0,6,71,8,17,0,0,3,2,0,33,2,0,97,1568,4,0,5,192,391,3,3,0,0,34,1943,6,578,89,4,4,49,6,1,0,15,24,190,27,1,95,2
TCGA.CK.4952.01A,2562,5308,19,417,2,0,0,847,25,122,71,4,5,467,11,0,24899,13,1,184,0,514,754,0,68477,440,16,3,16,15,4,4,2270,505,11,29,8,758,9,256,1640,1174,32,24,888,11,11,1,4,3,2,345,1,27,90,7,12,0,3,1,43,429,178,9,0,178,27,0,14,9,183785,3679,3,1,0,18,4,1,0,27,3,97,6,0,2,2,348,1,0,4,3,61390,0,0,101,15,5,2,49,0,0,2,306,631,13,0,0,28,98,19,163,0,1,0,119102,359,19,245,2,0,3,0,8,2302,1195,1,15,1605,7,25,8,18578,772,25142,25,26561,0,18,220,2,10,0,0,8,5,0,239,20,2,399,23532,0,0,1,309,961,2,0,3,1,4,5009,17,1661,416,15,4,176,0,17,6,3,23,545,10,0,77,12
TCGA.CK.5912.01A,18706,11995,22,1000,12,4,1,511,10,125,25,3,28,2713,49,0,135795,29,2,372,0,1134,548,0,232621,1324,52,26,9,53,6,11,4172,258,3,80,22,1307,22,623,3433,3538,36,187,2424,74,32,6,1,1,0,491,3,54,145,71,86,4,39,0,45,369,162,9,0,731,54,2,21,10,487645,5685,4,22,0,86,1,1,0,35,14,675,22,0,11,10,425,5,0,28,14,142863,6,0,200,16,3,0,45,1,0,4,1350,3766,14,1,7,95,285,29,126,0,1,1,399872,3186,91,734,2,7,0,2,46,12600,4500,12,61,548,32,24,18,19789,942,56892,26,16434,0,44,458,19,17,0,0,12,4,0,149,41,2,412,18693,11,35,8,665,2000,3,2,2,0,9,6180,3,1591,206,11,3,154,7,10,5,12,44,402,4,3,428,28
TCGA.CK.5913.01A,5974,6904,35,839,2,1,0,263,9,118,145,4,29,1240,28,88,82012,39,0,300,0,2158,198,0,165173,1365,30,19,43,91,6,7,4466,664,4,57,4,888,14,506,2373,1927,63,104,1380,33,22,3,2,2,0,484,4,66,88,18,15,2,7,0,43,391,183,5,1,606,66,3,13,8,999194,22983,8,12,0,29,2,0,4,45,9,412,17,0,5,0,392,1,0,5,13,95486,0,0,283,29,3,1,63,1,0,3,1319,2064,25,0,0,25,153,20,79,0,0,1,409908,2728,83,458,1,3,3,1,25,6006,1821,15,15,2834,13,37,21,25883,672,58455,40,30832,2,23,352,16,48,0,0,18,6,0,266,4,9,350,14384,4,0,15,465,1285,4,5,1,0,70,2977,4,889,218,10,6,156,0,22,9,31,19,704,10,0,199,11
TCGA.CK.5914.01A,4142,5352,9,491,8,0,0,228,28,203,43,1,6,627,9,2,37142,12,2,124,0,1124,253,0,87667,892,12,11,7,69,3,2,3427,546,5,80,36,698,16,351,3139,2080,110,140,2313,49,80,1,1,5,0,214,1,42,109,7,32,0,14,0,20,436,151,4,1,236,42,0,15,4,455895,13227,18,4,0,7,0,0,0,39,11,260,10,0,1,3,309,1,0,9,8,35389,5,0,103,12,0,0,45,2,0,5,769,1490,19,0,1,26,41,23,85,1,1,3,216022,1505,50,344,1,1,1,0,22,5588,2357,2,49,1640,15,18,11,17326,835,41600,29,18436,2,21,447,14,19,0,0,6,2,0,72,7,1,146,5540,2,5,12,303,817,1,2,2,0,23,2471,3,1208,123,11,1,72,3,7,4,7,33,298,10,0,178,23
TCGA.CK.5915.01A,16836,16679,28,627,8,1,0,759,16,102,8,3,15,555,17,0,104685,21,2,153,0,794,355,0,260175,2417,34,7,10,8,4,14,6099,878,12,29,16,330,5,155,3512,1036,57,120,2130,54,52,1,4,11,1,530,1,74,141,22,53,3,16,1,85,317,128,6,0,370,74,1,23,29,331106,9331,2,5,0,15,1,2,1,56,10,219,58,0,2,4,639,1,0,1,37,45721,0,0,186,27,8,6,86,0,0,2,1805,3964,38,0,0,20,42,27,148,0,0,2,170132,1861,43,513,0,1,0,0,23,5732,2331,8,85,16781,36,35,8,33467,1204,112081,79,75551,1,82,1529,26,41,0,0,19,10,0,74,5,6,401,12309,4,0,5,642,1982,4,4,7,0,45,4225,14,2152,333,13,4,264,2,45,12,17,18,337,6,0,215,15
TCGA.CK.5916.01A,10518,13108,41,1208,9,1,0,483,28,312,288,16,24,5885,53,1,66066,34,0,613,0,5050,905,0,70626,746,58,62,38,155,9,20,2364,1414,13,148,11,1716,12,419,2435,2994,96,117,1521,46,29,21,0,7,9,507,7,193,79,47,138,3,28,1,40,375,126,4,0,1783,193,1,25,27,1286502,11356,13,134,0,285,1,2,3,85,28,800,39,0,10,8,997,3,1,21,36,121463,4,0,368,33,19,5,140,3,0,3,704,2091,16,1,3,22,193,39,129,0,3,1,1562631,7759,240,663,0,5,3,25,49,14603,5587,4,55,2831,34,27,17,23992,1236,97435,66,59278,4,45,480,29,14,1,38,9,5,0,128,11,1,313,16222,1,1,17,1260,2344,3,2,1,1,52,3608,4,1258,293,2,6,455,8,22,10,30,30,610,9,0,133,17
TCGA.CK.6746.01A,14927,20335,71,1400,11,1,0,3572,158,2092,304,5,43,2386,55,0,9803,75,0,417,0,3097,3491,0,33597,87,34,6,17,79,4,9,9305,928,7,195,14,3224,47,806,3211,2501,29,52,1764,52,8,4,7,2,6,2185,11,34,142,176,29,3,9,1,111,104,47,7,0,269,34,6,16,25,526583,4982,9,6,0,28,7,5,102,145,20,1247,26,0,1,7,1578,8,0,20,47,59673,2,0,334,72,10,2,202,6,0,8,1220,3375,62,3,3,76,398,79,645,0,0,0,488579,2104,54,522,0,4,6,5,4,4124,1746,0,43,6488,31,81,24,28732,1266,127968,120,61498,6,44,541,36,22,0,5,14,19,0,141,2,8,617,29272,5,57,16,1490,3872,1,4,2,0,50,5104,11,697,192,8,2,369,8,6,5,44,56,659,23,0,13,0
TCGA.CK.6747.01A,13563,13997,25,1066,4,0,3,912,19,235,22,0,77,2807,37,14,126097,30,5,288,0,1113,837,0,408905,2258,69,26,37,177,5,9,5184,1475,10,118,16,1564,22,482,3085,1751,33,84,1990,68,32,1,5,10,3,669,3,60,124,44,80,9,42,3,111,471,101,18,0,1374,60,0,15,10,898851,14387,7,64,0,223,0,8,5,88,12,846,23,0,3,4,579,11,0,1,18,68435,4,0,247,34,4,2,64,1,0,10,1793,4604,29,7,1,61,242,68,139,0,0,5,676908,6875,162,914,4,2,5,13,64,15180,5324,4,65,9364,26,44,21,21416,794,59767,78,27894,2,60,778,39,68,0,0,21,16,0,164,9,5,356,13540,9,1,15,863,1415,3,3,9,0,43,2861,7,618,90,1,2,190,2,13,11,30,53,711,15,3,169,15
TCGA.CK.6748.01A,10907,6093,38,1065,3,0,1,1743,63,606,298,5,61,3158,44,0,118173,36,7,463,0,1030,500,0,230001,644,114,40,37,203,6,9,3514,1719,11,164,33,2378,10,700,5989,5013,73,166,3344,97,47,1,1,3,3,402,7,142,125,109,130,8,49,1,70,497,125,12,1,1083,142,5,37,22,1138121,10071,10,292,3,874,8,6,3,113,36,1359,50,0,2,4,730,11,0,24,59,64190,3,0,231,46,2,1,67,2,3,3,1032,4058,16,2,3,45,611,24,294,2,0,4,1836046,18843,371,329,4,19,2,81,53,15449,7298,0,67,13745,63,25,4,22059,1077,111574,91,46083,6,120,527,24,22,5,64,24,23,0,189,8,0,479,25494,12,27,13,1026,2095,3,1,8,2,54,4058,12,482,93,4,1,308,8,22,16,31,120,1700,75,2,283,40
TCGA.CK.6751.01A,8273,7956,23,1266,10,2,0,522,71,271,77,9,40,2339,34,10,45692,17,1,194,0,1184,381,0,153986,1308,66,32,43,241,0,7,3071,829,5,292,30,1548,8,398,1890,955,48,86,951,30,24,6,3,5,4,398,8,162,278,35,76,4,44,3,82,2542,498,67,2,1285,162,0,11,13,768902,26198,12,28,3,59,2,3,3,49,31,814,11,0,0,3,535,6,1,8,62,46488,3,0,300,26,2,3,84,1,1,10,1293,2708,39,0,2,78,534,43,90,1,1,2,807376,10777,277,593,0,0,0,3,50,13133,6099,6,121,3445,24,50,14,11464,792,26571,41,18384,4,50,635,25,28,0,0,12,12,0,995,9,1,303,10391,12,2,12,715,1712,2,3,11,0,49,1953,14,664,102,2,8,126,3,10,11,33,20,630,49,0,151,29
TCGA.CM.4743.01A,3317,4438,38,710,6,0,0,846,36,502,127,2,15,2237,36,17,56630,21,0,223,0,2100,1401,0,99134,695,29,5,10,35,4,12,4032,514,4,90,43,2139,29,554,2336,2221,188,115,1426,22,20,7,2,1,5,634,0,68,315,15,41,2,16,4,32,757,329,26,1,149,68,3,28,14,838499,12233,16,7,0,8,1,0,22,56,9,456,15,0,1,3,520,3,0,16,5,77085,4,0,229,10,2,3,108,5,0,4,705,1792,32,0,0,7,94,43,108,0,1,4,269442,1597,37,495,0,0,5,0,14,5609,1849,12,52,3423,24,61,43,17135,1017,61192,71,27800,3,35,293,15,44,0,0,24,6,0,373,6,6,282,9175,1,0,13,824,526,1,7,4,1,130,1693,7,533,111,8,0,212,5,13,5,17,27,824,11,0,22,1
